date,discharge,month,year,average_percentage,percentile,percentile_range
2003-09-30,94.663,9,2003,-0.072,0.619,Normal range
2003-10-31,15.963,10,2003,-0.760,0.233,Below normal
2003-11-30,21.719,11,2003,-0.505,0.585,Normal range
2003-12-31,13.089,12,2003,-0.413,0.738,Above normal
2004-01-31,18.573,1,2004,0.238,0.878,High flow
2004-02-29,3.002,2,2004,-0.884,0.381,Normal range
2004-03-31,0.778,3,2004,-0.957,0.150,Below normal
2004-04-30,4.128,4,2004,-0.922,0.350,Normal range
2004-05-31,47.864,5,2004,-0.249,0.683,Normal range
2004-06-30,29.867,6,2004,-0.574,0.439,Normal range
2004-07-31,46.579,7,2004,-0.497,0.366,Normal range
2004-08-31,18.847,8,2004,-0.740,0.146,Below normal
2004-09-30,81.624,9,2004,-0.200,0.476,Normal range
2004-10-31,5.954,10,2004,-0.911,0.116,Low flow
2004-11-30,33.433,11,2004,-0.238,0.634,Normal range
2004-12-31,1.121,12,2004,-0.950,0.167,Below normal
2005-01-31,0.586,1,2005,-0.961,0.220,Below normal
2005-02-28,0.162,2,2005,-0.994,0.048,Low flow
2005-03-31,0.184,3,2005,-0.990,0.025,Low flow
2005-04-30,103.798,4,2005,0.970,0.875,High flow
2005-05-31,222.727,5,2005,2.493,0.927,High flow
2005-06-30,112.898,6,2005,0.611,0.732,Above normal
2005-07-31,13.603,7,2005,-0.853,0.146,Below normal
2005-08-31,5.300,8,2005,-0.927,0.098,Low flow
2005-09-30,189.066,9,2005,0.853,0.833,Above normal
2005-10-31,52.790,10,2005,-0.208,0.535,Normal range
2005-11-30,8.117,11,2005,-0.815,0.366,Normal range
2005-12-31,1.617,12,2005,-0.927,0.214,Below normal
2006-01-31,7.616,1,2006,-0.493,0.683,Normal range
2006-02-28,7.378,2,2006,-0.715,0.619,Normal range
2006-03-31,26.993,3,2006,0.487,0.775,Above normal
2006-04-30,6.675,4,2006,-0.873,0.425,Normal range
2006-05-31,3.268,5,2006,-0.949,0.171,Below normal
2006-06-30,65.735,6,2006,-0.062,0.561,Normal range
2006-07-31,18.272,7,2006,-0.803,0.268,Below normal
2006-08-31,87.807,8,2006,0.213,0.585,Normal range
2006-09-30,34.968,9,2006,-0.657,0.190,Below normal
2006-10-31,5.309,10,2006,-0.920,0.070,Low flow
2006-11-30,6.389,11,2006,-0.854,0.317,Normal range
2006-12-31,5.041,12,2006,-0.774,0.500,Normal range
2007-01-31,0.959,1,2007,-0.936,0.268,Below normal
2007-02-28,0.830,2,2007,-0.968,0.167,Below normal
