date,discharge,month,year,average_percentage,percentile,percentile_range
2000-02-29,0.895,2,2000,-0.928,0.195,Below normal
2000-03-31,0.470,3,2000,-0.964,0.098,Low flow
2000-04-30,22.795,4,2000,1.059,0.810,Above normal
2000-05-31,117.351,5,2000,6.567,0.976,High flow
2000-06-30,28.722,6,2000,-0.049,0.643,Normal range
2000-07-31,58.188,7,2000,1.046,0.929,High flow
2000-08-31,33.760,8,2000,0.369,0.833,Above normal
2000-09-30,66.890,9,2000,1.266,0.850,Above normal
2000-10-31,7.738,10,2000,-0.652,0.425,Normal range
2000-11-30,4.338,11,2000,-0.620,0.366,Normal range
2000-12-31,1.263,12,2000,-0.898,0.244,Below normal
2001-01-31,7.439,1,2001,0.120,0.732,Above normal
2001-02-28,24.614,2,2001,0.969,0.829,Above normal
2001-03-31,22.570,3,2001,0.719,0.878,High flow
2001-04-30,4.012,4,2001,-0.638,0.476,Normal range
2001-05-31,3.645,5,2001,-0.765,0.333,Normal range
2001-06-30,59.466,6,2001,0.970,0.905,High flow
2001-07-31,20.040,7,2001,-0.295,0.357,Normal range
2001-08-31,26.445,8,2001,0.072,0.619,Normal range
2001-09-30,14.776,9,2001,-0.500,0.475,Normal range
2001-10-31,65.445,10,2001,1.945,0.925,High flow
2001-11-30,13.425,11,2001,0.177,0.659,Normal range
2001-12-31,3.741,12,2001,-0.699,0.585,Normal range
2002-01-31,0.925,1,2002,-0.861,0.366,Normal range
2002-02-28,1.167,2,2002,-0.907,0.244,Below normal
2002-03-31,158.345,3,2002,11.058,0.976,High flow
2002-04-30,37.774,4,2002,2.412,0.929,High flow
2002-05-31,43.005,5,2002,1.773,0.905,High flow
2002-06-30,32.912,6,2002,0.090,0.714,Normal range
2002-07-31,25.701,7,2002,-0.096,0.595,Normal range
2002-08-31,31.036,8,2002,0.259,0.786,Above normal
2002-09-30,,9,2002,,,
2002-10-31,11.128,10,2002,-0.499,0.500,Normal range
2002-11-30,10.050,11,2002,-0.119,0.634,Normal range
2002-12-31,100.189,12,2002,7.061,0.976,High flow
2003-01-31,9.704,1,2003,0.461,0.756,Above normal
2003-02-28,56.981,2,2003,3.558,0.902,High flow
2003-03-31,10.645,3,2003,-0.189,0.780,Above normal
2003-04-30,1.973,4,2003,-0.822,0.333,Normal range
2003-05-31,19.056,5,2003,0.229,0.738,Above normal
2003-06-30,85.584,6,2003,1.835,0.952,High flow
2003-07-31,21.981,7,2003,-0.227,0.429,Normal range
2003-08-31,25.050,8,2003,0.016,0.571,Normal range
2003-09-30,59.681,9,2003,1.022,0.825,Above normal
2003-10-31,9.635,10,2003,-0.566,0.450,Normal range
2003-11-30,39.368,11,2003,2.451,0.976,High flow
2003-12-31,4.897,12,2003,-0.606,0.659,Normal range
2004-01-31,3.467,1,2004,-0.478,0.634,Normal range
2004-02-29,1.755,2,2004,-0.860,0.390,Normal range
2004-03-31,0.311,3,2004,-0.976,0.049,Low flow
2004-04-30,4.763,4,2004,-0.570,0.571,Normal range
2004-05-31,16.351,5,2004,0.054,0.690,Normal range
2004-06-30,12.050,6,2004,-0.601,0.357,Normal range
2004-07-31,25.696,7,2004,-0.097,0.571,Normal range
2004-08-31,7.997,8,2004,-0.676,0.167,Below normal
2004-09-30,33.333,9,2004,0.129,0.750,Above normal
2004-10-31,21.963,10,2004,-0.012,0.700,Normal range
2004-11-30,9.245,11,2004,-0.190,0.561,Normal range
2004-12-31,1.534,12,2004,-0.877,0.415,Normal range
2005-01-31,0.704,1,2005,-0.894,0.244,Below normal
2005-02-28,2.665,2,2005,-0.787,0.537,Normal range
2005-03-31,0.259,3,2005,-0.980,0.024,Low flow
2005-04-30,78.791,4,2005,6.117,0.976,High flow
2005-05-31,33.288,5,2005,1.146,0.881,High flow
